,id,session,species,recordStart,recordStartDate,recordEnd,recordEndDate,hops,c_short,c_long,c_total,c_diff
0,0,1,B. pascuorum,1746979960764,2025-05-11T16:12:40.764Z,1746980080764,2025-05-11T16:14:40.764Z,"[{'type': 's', 'time': '2025-05-11T16:12:48.314Z'}, {'type': 's', 'time': '2025-05-11T16:13:02.387Z'}, {'type': 's', 'time': '2025-05-11T16:13:25.882Z'}, {'type': 'l', 'time': '2025-05-11T16:13:32.865Z'}, {'type': 's', 'time': '2025-05-11T16:13:42.943Z'}, {'type': 's', 'time': '2025-05-11T16:13:47.101Z'}, {'type': 's', 'time': '2025-05-11T16:14:00.342Z'}, {'type': 's', 'time': '2025-05-11T16:14:06.808Z'}, {'type': 's', 'time': '2025-05-11T16:14:14.066Z'}, {'type': 's', 'time': '2025-05-11T16:14:16.228Z'}, {'type': 's', 'time': '2025-05-11T16:14:20.765Z'}, {'type': 'l', 'time': '2025-05-11T16:14:22.824Z'}, {'type': 's', 'time': '2025-05-11T16:14:28.205Z'}, {'type': 's', 'time': '2025-05-11T16:14:30.074Z'}, {'type': 's', 'time': '2025-05-11T16:14:35.482Z'}, {'type': 's', 'time': '2025-05-11T16:14:37.247Z'}, {'type': 's', 'time': '2025-05-11T16:14:39.356Z'}, {'type': 'l', 'time': '2025-05-11T16:14:40.848Z'}]",15,3,18,12
1,1,1,B. hortorum,1746980169978,2025-05-11T16:16:09.978Z,1746980289978,2025-05-11T16:18:09.978Z,"[{'type': 'l', 'time': '2025-05-11T16:16:14.377Z'}, {'type': 's', 'time': '2025-05-11T16:16:26.122Z'}, {'type': 's', 'time': '2025-05-11T16:16:32.164Z'}, {'type': 's', 'time': '2025-05-11T16:16:39.782Z'}, {'type': 'l', 'time': '2025-05-11T16:16:44.681Z'}, {'type': 's', 'time': '2025-05-11T16:16:55.011Z'}, {'type': 'l', 'time': '2025-05-11T16:17:03.126Z'}, {'type': 'l', 'time': '2025-05-11T16:17:08.122Z'}, {'type': 's', 'time': '2025-05-11T16:17:14.163Z'}, {'type': 's', 'time': '2025-05-11T16:17:16.802Z'}, {'type': 'l', 'time': '2025-05-11T16:17:20.029Z'}, {'type': 'l', 'time': '2025-05-11T16:17:25.919Z'}, {'type': 's', 'time': '2025-05-11T16:17:34.670Z'}, {'type': 's', 'time': '2025-05-11T16:17:40.294Z'}, {'type': 'l', 'time': '2025-05-11T16:17:47.975Z'}, {'type': 's', 'time': '2025-05-11T16:17:50.326Z'}, {'type': 's', 'time': '2025-05-11T16:17:53.520Z'}, {'type': 'l', 'time': '2025-05-11T16:17:56.703Z'}, {'type': 'l', 'time': '2025-05-11T16:18:05.517Z'}]",10,9,19,1
2,2,1,B. hypnorum,1746980413993,2025-05-11T16:20:13.993Z,1746980533993,2025-05-11T16:22:13.993Z,"[{'type': 's', 'time': '2025-05-11T16:20:16.111Z'}, {'type': 's', 'time': '2025-05-11T16:20:24.866Z'}, {'type': 's', 'time': '2025-05-11T16:20:37.790Z'}, {'type': 's', 'time': '2025-05-11T16:20:42.583Z'}, {'type': 's', 'time': '2025-05-11T16:20:54.983Z'}, {'type': 'l', 'time': '2025-05-11T16:21:31.156Z'}, {'type': 's', 'time': '2025-05-11T16:21:37.077Z'}, {'type': 's', 'time': '2025-05-11T16:21:45.564Z'}, {'type': 's', 'time': '2025-05-11T16:21:51.337Z'}, {'type': 's', 'time': '2025-05-11T16:21:53.738Z'}, {'type': 'l', 'time': '2025-05-11T16:21:58.995Z'}, {'type': 's', 'time': '2025-05-11T16:22:01.760Z'}, {'type': 'l', 'time': '2025-05-11T16:22:05.119Z'}, {'type': 's', 'time': '2025-05-11T16:22:08.854Z'}, {'type': 'l', 'time': '2025-05-11T16:22:10.587Z'}, {'type': 's', 'time': '2025-05-11T16:22:12.142Z'}]",12,4,16,8
3,3,1,B. lapidarius,1746980687486,2025-05-11T16:24:47.486Z,1746980807486,2025-05-11T16:26:47.486Z,"[{'type': 's', 'time': '2025-05-11T16:24:57.027Z'}, {'type': 's', 'time': '2025-05-11T16:25:06.834Z'}, {'type': 's', 'time': '2025-05-11T16:25:20.075Z'}, {'type': 'l', 'time': '2025-05-11T16:25:23.556Z'}, {'type': 's', 'time': '2025-05-11T16:25:28.691Z'}, {'type': 'l', 'time': '2025-05-11T16:25:33.506Z'}, {'type': 's', 'time': '2025-05-11T16:25:40.199Z'}, {'type': 's', 'time': '2025-05-11T16:25:50.870Z'}, {'type': 's', 'time': '2025-05-11T16:25:58.737Z'}, {'type': 's', 'time': '2025-05-11T16:26:07.638Z'}, {'type': 's', 'time': '2025-05-11T16:26:24.791Z'}, {'type': 's', 'time': '2025-05-11T16:26:35.316Z'}, {'type': 'l', 'time': '2025-05-11T16:26:38.774Z'}, {'type': 'l', 'time': '2025-05-11T16:26:45.797Z'}]",10,4,14,6
4,4,1,B. hortorum,1746981030643,2025-05-11T16:30:30.643Z,1746981150643,2025-05-11T16:32:30.643Z,"[{'type': 's', 'time': '2025-05-11T16:30:34.479Z'}, {'type': 's', 'time': '2025-05-11T16:30:36.585Z'}, {'type': 's', 'time': '2025-05-11T16:30:38.077Z'}, {'type': 'l', 'time': '2025-05-11T16:30:41.014Z'}, {'type': 's', 'time': '2025-05-11T16:30:43.666Z'}, {'type': 's', 'time': '2025-05-11T16:30:45.293Z'}, {'type': 's', 'time': '2025-05-11T16:30:48.533Z'}, {'type': 's', 'time': '2025-05-11T16:30:49.807Z'}, {'type': 'l', 'time': '2025-05-11T16:30:51.386Z'}, {'type': 's', 'time': '2025-05-11T16:30:53.669Z'}, {'type': 's', 'time': '2025-05-11T16:30:56.059Z'}, {'type': 's', 'time': '2025-05-11T16:30:58.801Z'}, {'type': 's', 'time': '2025-05-11T16:31:00.267Z'}, {'type': 's', 'time': '2025-05-11T16:31:01.969Z'}, {'type': 's', 'time': '2025-05-11T16:31:07.473Z'}, {'type': 'l', 'time': '2025-05-11T16:31:08.711Z'}, {'type': 's', 'time': '2025-05-11T16:31:10.375Z'}, {'type': 's', 'time': '2025-05-11T16:31:12.224Z'}, {'type': 's', 'time': '2025-05-11T16:31:14.241Z'}, {'type': 's', 'time': '2025-05-11T16:31:16.209Z'}, {'type': 'l', 'time': '2025-05-11T16:31:18.743Z'}, {'type': 'l', 'time': '2025-05-11T16:31:20.357Z'}, {'type': 's', 'time': '2025-05-11T16:31:22.740Z'}, {'type': 's', 'time': '2025-05-11T16:31:23.782Z'}, {'type': 's', 'time': '2025-05-11T16:31:26.623Z'}, {'type': 's', 'time': '2025-05-11T16:31:29.015Z'}, {'type': 'l', 'time': '2025-05-11T16:31:32.374Z'}, {'type': 's', 'time': '2025-05-11T16:31:33.451Z'}, {'type': 's', 'time': '2025-05-11T16:31:35.190Z'}, {'type': 's', 'time': '2025-05-11T16:31:37.273Z'}, {'type': 'l', 'time': '2025-05-11T16:31:40.030Z'}, {'type': 'l', 'time': '2025-05-11T16:31:42.447Z'}, {'type': 's', 'time': '2025-05-11T16:31:45.074Z'}, {'type': 's', 'time': '2025-05-11T16:31:49.700Z'}, {'type': 'l', 'time': '2025-05-11T16:31:50.819Z'}, {'type': 's', 'time': '2025-05-11T16:31:51.931Z'}, {'type': 's', 'time': '2025-05-11T16:31:54.221Z'}, {'type': 's', 'time': '2025-05-11T16:31:56.368Z'}, {'type': 's', 'time': '2025-05-11T16:31:57.530Z'}, {'type': 's', 'time': '2025-05-11T16:31:59.562Z'}, {'type': 'l', 'time': '2025-05-11T16:32:02.039Z'}, {'type': 's', 'time': '2025-05-11T16:32:06.813Z'}, {'type': 's', 'time': '2025-05-11T16:32:08.647Z'}, {'type': 's', 'time': '2025-05-11T16:32:10.683Z'}, {'type': 's', 'time': '2025-05-11T16:32:12.774Z'}, {'type': 's', 'time': '2025-05-11T16:32:15.239Z'}, {'type': 'l', 'time': '2025-05-11T16:32:18.101Z'}, {'type': 's', 'time': '2025-05-11T16:32:20.793Z'}, {'type': 'l', 'time': '2025-05-11T16:32:22.640Z'}, {'type': 'l', 'time': '2025-05-11T16:32:24.845Z'}, {'type': 's', 'time': '2025-05-11T16:32:27.186Z'}, {'type': 'l', 'time': '2025-05-11T16:32:30.752Z'}]",38,14,52,24
5,5,1,B. hypnorum,1746981231087,2025-05-11T16:33:51.087Z,1746981351087,2025-05-11T16:35:51.087Z,"[{'type': 's', 'time': '2025-05-11T16:33:54.677Z'}, {'type': 's', 'time': '2025-05-11T16:34:00.622Z'}, {'type': 's', 'time': '2025-05-11T16:34:04.871Z'}, {'type': 's', 'time': '2025-05-11T16:34:06.541Z'}, {'type': 's', 'time': '2025-05-11T16:34:17.079Z'}, {'type': 's', 'time': '2025-05-11T16:34:22.562Z'}, {'type': 's', 'time': '2025-05-11T16:34:27.287Z'}, {'type': 'l', 'time': '2025-05-11T16:34:37.856Z'}, {'type': 's', 'time': '2025-05-11T16:35:01.767Z'}, {'type': 's', 'time': '2025-05-11T16:35:03.226Z'}, {'type': 's', 'time': '2025-05-11T16:35:05.768Z'}, {'type': 's', 'time': '2025-05-11T16:35:08.051Z'}, {'type': 's', 'time': '2025-05-11T16:35:11.577Z'}, {'type': 's', 'time': '2025-05-11T16:35:14.811Z'}, {'type': 'l', 'time': '2025-05-11T16:35:18.260Z'}, {'type': 's', 'time': '2025-05-11T16:35:21.576Z'}, {'type': 's', 'time': '2025-05-11T16:35:28.684Z'}, {'type': 'l', 'time': '2025-05-11T16:35:31.375Z'}, {'type': 's', 'time': '2025-05-11T16:35:34.517Z'}, {'type': 's', 'time': '2025-05-11T16:35:42.991Z'}, {'type': 's', 'time': '2025-05-11T16:35:50.202Z'}]",18,3,21,15
6,6,1,B. pascuorum,1746981441172,2025-05-11T16:37:21.172Z,1746981561172,2025-05-11T16:39:21.172Z,"[{'type': 's', 'time': '2025-05-11T16:37:25.580Z'}, {'type': 'l', 'time': '2025-05-11T16:37:29.519Z'}, {'type': 's', 'time': '2025-05-11T16:37:32.638Z'}, {'type': 's', 'time': '2025-05-11T16:37:34.221Z'}, {'type': 'l', 'time': '2025-05-11T16:37:36.313Z'}, {'type': 'l', 'time': '2025-05-11T16:37:38.020Z'}, {'type': 'l', 'time': '2025-05-11T16:37:40.953Z'}, {'type': 's', 'time': '2025-05-11T16:37:51.068Z'}, {'type': 's', 'time': '2025-05-11T16:37:54.352Z'}, {'type': 'l', 'time': '2025-05-11T16:37:58.038Z'}, {'type': 's', 'time': '2025-05-11T16:37:59.737Z'}, {'type': 's', 'time': '2025-05-11T16:38:03.001Z'}, {'type': 's', 'time': '2025-05-11T16:38:07.568Z'}, {'type': 'l', 'time': '2025-05-11T16:38:12.555Z'}, {'type': 's', 'time': '2025-05-11T16:38:25.625Z'}, {'type': 's', 'time': '2025-05-11T16:38:36.639Z'}, {'type': 's', 'time': '2025-05-11T16:38:41.608Z'}, {'type': 's', 'time': '2025-05-11T16:38:45.149Z'}, {'type': 's', 'time': '2025-05-11T16:38:49.534Z'}, {'type': 's', 'time': '2025-05-11T16:38:58.207Z'}, {'type': 's', 'time': '2025-05-11T16:39:01.235Z'}, {'type': 'l', 'time': '2025-05-11T16:39:03.981Z'}, {'type': 's', 'time': '2025-05-11T16:39:15.681Z'}, {'type': 's', 'time': '2025-05-11T16:39:20.497Z'}]",17,7,24,10
7,7,1,B. pascuorum,1746981634523,2025-05-11T16:40:34.523Z,1746981754523,2025-05-11T16:42:34.523Z,"[{'type': 's', 'time': '2025-05-11T16:40:44.652Z'}, {'type': 's', 'time': '2025-05-11T16:40:49.267Z'}, {'type': 's', 'time': '2025-05-11T16:40:55.759Z'}, {'type': 's', 'time': '2025-05-11T16:41:07.684Z'}, {'type': 'l', 'time': '2025-05-11T16:41:13.248Z'}, {'type': 's', 'time': '2025-05-11T16:41:19.133Z'}, {'type': 's', 'time': '2025-05-11T16:41:25.509Z'}, {'type': 's', 'time': '2025-05-11T16:41:30.683Z'}, {'type': 's', 'time': '2025-05-11T16:41:34.768Z'}, {'type': 'l', 'time': '2025-05-11T16:41:36.873Z'}, {'type': 's', 'time': '2025-05-11T16:41:44.292Z'}, {'type': 's', 'time': '2025-05-11T16:41:46.936Z'}, {'type': 'l', 'time': '2025-05-11T16:41:55.064Z'}, {'type': 's', 'time': '2025-05-11T16:41:59.104Z'}, {'type': 'l', 'time': '2025-05-11T16:42:01.021Z'}, {'type': 's', 'time': '2025-05-11T16:42:05.788Z'}, {'type': 's', 'time': '2025-05-11T16:42:06.930Z'}, {'type': 's', 'time': '2025-05-11T16:42:10.217Z'}, {'type': 's', 'time': '2025-05-11T16:42:12.245Z'}, {'type': 's', 'time': '2025-05-11T16:42:14.454Z'}, {'type': 's', 'time': '2025-05-11T16:42:21.117Z'}, {'type': 's', 'time': '2025-05-11T16:42:22.703Z'}, {'type': 's', 'time': '2025-05-11T16:42:28.144Z'}]",19,4,23,15
8,8,1,B. pascuorum,1746981788729,2025-05-11T16:43:08.729Z,1746981908729,2025-05-11T16:45:08.729Z,"[{'type': 's', 'time': '2025-05-11T16:43:14.211Z'}, {'type': 's', 'time': '2025-05-11T16:43:19.717Z'}, {'type': 's', 'time': '2025-05-11T16:43:22.515Z'}, {'type': 'l', 'time': '2025-05-11T16:43:25.242Z'}, {'type': 's', 'time': '2025-05-11T16:43:32.290Z'}, {'type': 's', 'time': '2025-05-11T16:43:36.473Z'}, {'type': 's', 'time': '2025-05-11T16:43:39.457Z'}, {'type': 's', 'time': '2025-05-11T16:43:42.682Z'}, {'type': 's', 'time': '2025-05-11T16:43:46.859Z'}, {'type': 'l', 'time': '2025-05-11T16:43:49.723Z'}, {'type': 's', 'time': '2025-05-11T16:43:53.812Z'}, {'type': 'l', 'time': '2025-05-11T16:43:57.055Z'}, {'type': 'l', 'time': '2025-05-11T16:44:01.614Z'}, {'type': 's', 'time': '2025-05-11T16:44:08.561Z'}, {'type': 's', 'time': '2025-05-11T16:44:16.437Z'}, {'type': 'l', 'time': '2025-05-11T16:44:18.629Z'}, {'type': 's', 'time': '2025-05-11T16:44:28.385Z'}, {'type': 's', 'time': '2025-05-11T16:44:38.662Z'}, {'type': 's', 'time': '2025-05-11T16:44:45.469Z'}, {'type': 's', 'time': '2025-05-11T16:44:47.652Z'}, {'type': 's', 'time': '2025-05-11T16:44:51.628Z'}, {'type': 'l', 'time': '2025-05-11T16:44:53.227Z'}, {'type': 'l', 'time': '2025-05-11T16:44:59.727Z'}, {'type': 'l', 'time': '2025-05-11T16:45:05.314Z'}]",16,8,24,8
9,9,1,B. pascuorum,1746981953065,2025-05-11T16:45:53.065Z,1746982073065,2025-05-11T16:47:53.065Z,"[{'type': 's', 'time': '2025-05-11T16:45:55.928Z'}, {'type': 'l', 'time': '2025-05-11T16:45:58.033Z'}, {'type': 's', 'time': '2025-05-11T16:46:01.497Z'}, {'type': 'l', 'time': '2025-05-11T16:46:06.621Z'}, {'type': 's', 'time': '2025-05-11T16:46:12.913Z'}, {'type': 's', 'time': '2025-05-11T16:46:14.677Z'}, {'type': 'l', 'time': '2025-05-11T16:46:16.592Z'}, {'type': 'l', 'time': '2025-05-11T16:46:26.812Z'}, {'type': 's', 'time': '2025-05-11T16:46:32.594Z'}, {'type': 's', 'time': '2025-05-11T16:46:34.328Z'}, {'type': 's', 'time': '2025-05-11T16:46:46.735Z'}, {'type': 's', 'time': '2025-05-11T16:46:53.793Z'}, {'type': 'l', 'time': '2025-05-11T16:46:57.062Z'}, {'type': 's', 'time': '2025-05-11T16:47:03.626Z'}, {'type': 's', 'time': '2025-05-11T16:47:08.594Z'}, {'type': 'l', 'time': '2025-05-11T16:47:14.391Z'}, {'type': 'l', 'time': '2025-05-11T16:47:17.116Z'}, {'type': 's', 'time': '2025-05-11T16:47:24.483Z'}, {'type': 'l', 'time': '2025-05-11T16:47:30.666Z'}, {'type': 'l', 'time': '2025-05-11T16:47:35.648Z'}, {'type': 's', 'time': '2025-05-11T16:47:38.648Z'}, {'type': 'l', 'time': '2025-05-11T16:47:42.663Z'}]",12,10,22,2
10,10,2,B. hypnorum,1747068432711,2025-05-12T16:47:12.711Z,1747068552711,2025-05-12T16:49:12.711Z,"[{'type': 'l', 'time': '2025-05-12T16:47:44.477Z'}, {'type': 's', 'time': '2025-05-12T16:47:47.860Z'}, {'type': 'l', 'time': '2025-05-12T16:47:53.276Z'}, {'type': 's', 'time': '2025-05-12T16:48:09.037Z'}, {'type': 's', 'time': '2025-05-12T16:48:19.458Z'}, {'type': 'l', 'time': '2025-05-12T16:48:24.198Z'}, {'type': 's', 'time': '2025-05-12T16:48:31.025Z'}, {'type': 'l', 'time': '2025-05-12T16:48:33.958Z'}, {'type': 'l', 'time': '2025-05-12T16:48:47.357Z'}, {'type': 's', 'time': '2025-05-12T16:48:55.108Z'}, {'type': 'l', 'time': '2025-05-12T16:48:59.699Z'}, {'type': 's', 'time': '2025-05-12T16:49:00.417Z'}]",6,6,12,0
11,11,2,B. pratorum,1747068764292,2025-05-12T16:52:44.292Z,1747068884292,2025-05-12T16:54:44.292Z,"[{'type': 'l', 'time': '2025-05-12T16:52:49.004Z'}, {'type': 's', 'time': '2025-05-12T16:52:52.493Z'}, {'type': 'l', 'time': '2025-05-12T16:52:57.199Z'}, {'type': 's', 'time': '2025-05-12T16:53:03.527Z'}, {'type': 's', 'time': '2025-05-12T16:53:24.442Z'}, {'type': 'l', 'time': '2025-05-12T16:53:31.802Z'}, {'type': 's', 'time': '2025-05-12T16:53:35.566Z'}, {'type': 's', 'time': '2025-05-12T16:53:51.608Z'}, {'type': 'l', 'time': '2025-05-12T16:53:57.066Z'}, {'type': 's', 'time': '2025-05-12T16:53:58.675Z'}, {'type': 's', 'time': '2025-05-12T16:54:07.233Z'}, {'type': 'l', 'time': '2025-05-12T16:54:11.765Z'}, {'type': 's', 'time': '2025-05-12T16:54:27.907Z'}, {'type': 'l', 'time': '2025-05-12T16:54:30.355Z'}, {'type': 's', 'time': '2025-05-12T16:54:33.714Z'}, {'type': 's', 'time': '2025-05-12T16:54:40.878Z'}]",10,6,16,4
12,12,2,B. hortorum,1747069077998,2025-05-12T16:57:57.998Z,1747069197998,2025-05-12T16:59:57.998Z,"[{'type': 's', 'time': '2025-05-12T16:58:00.701Z'}, {'type': 's', 'time': '2025-05-12T16:58:03.797Z'}, {'type': 's', 'time': '2025-05-12T16:58:07.689Z'}, {'type': 'l', 'time': '2025-05-12T16:58:10.289Z'}, {'type': 's', 'time': '2025-05-12T16:58:12.825Z'}, {'type': 's', 'time': '2025-05-12T16:58:14.714Z'}, {'type': 's', 'time': '2025-05-12T16:58:16.523Z'}, {'type': 's', 'time': '2025-05-12T16:58:17.976Z'}, {'type': 's', 'time': '2025-05-12T16:58:20.072Z'}, {'type': 'l', 'time': '2025-05-12T16:58:24.622Z'}, {'type': 's', 'time': '2025-05-12T16:58:27.020Z'}, {'type': 's', 'time': '2025-05-12T16:58:29.311Z'}, {'type': 'l', 'time': '2025-05-12T16:58:33.272Z'}, {'type': 's', 'time': '2025-05-12T16:58:37.461Z'}, {'type': 's', 'time': '2025-05-12T16:58:42.663Z'}, {'type': 's', 'time': '2025-05-12T16:58:47.304Z'}, {'type': 's', 'time': '2025-05-12T16:58:50.188Z'}, {'type': 'l', 'time': '2025-05-12T16:58:54.997Z'}, {'type': 's', 'time': '2025-05-12T16:58:58.395Z'}, {'type': 's', 'time': '2025-05-12T16:59:00.629Z'}, {'type': 's', 'time': '2025-05-12T16:59:02.561Z'}, {'type': 's', 'time': '2025-05-12T16:59:05.084Z'}, {'type': 'l', 'time': '2025-05-12T16:59:10.499Z'}, {'type': 's', 'time': '2025-05-12T16:59:13.245Z'}, {'type': 's', 'time': '2025-05-12T16:59:15.345Z'}, {'type': 's', 'time': '2025-05-12T16:59:17.287Z'}, {'type': 's', 'time': '2025-05-12T16:59:19.662Z'}, {'type': 's', 'time': '2025-05-12T16:59:22.222Z'}, {'type': 's', 'time': '2025-05-12T16:59:25.164Z'}, {'type': 's', 'time': '2025-05-12T16:59:27.711Z'}, {'type': 'l', 'time': '2025-05-12T16:59:30.984Z'}, {'type': 's', 'time': '2025-05-12T16:59:35.244Z'}, {'type': 's', 'time': '2025-05-12T16:59:37.319Z'}, {'type': 's', 'time': '2025-05-12T16:59:40.133Z'}, {'type': 's', 'time': '2025-05-12T16:59:44.411Z'}, {'type': 'l', 'time': '2025-05-12T16:59:46.212Z'}, {'type': 's', 'time': '2025-05-12T16:59:48.250Z'}]",30,7,37,23
13,13,2,B. hortorum,1747069253740,2025-05-12T17:00:53.740Z,1747069373740,2025-05-12T17:02:53.740Z,"[{'type': 'l', 'time': '2025-05-12T17:00:56.516Z'}, {'type': 'l', 'time': '2025-05-12T17:01:03.281Z'}, {'type': 'l', 'time': '2025-05-12T17:01:05.779Z'}, {'type': 'l', 'time': '2025-05-12T17:01:10.009Z'}, {'type': 's', 'time': '2025-05-12T17:01:14.464Z'}, {'type': 's', 'time': '2025-05-12T17:01:18.923Z'}, {'type': 's', 'time': '2025-05-12T17:01:24.904Z'}, {'type': 'l', 'time': '2025-05-12T17:01:27.966Z'}, {'type': 'l', 'time': '2025-05-12T17:01:34.739Z'}, {'type': 's', 'time': '2025-05-12T17:01:49.892Z'}, {'type': 's', 'time': '2025-05-12T17:01:54.544Z'}, {'type': 'l', 'time': '2025-05-12T17:01:58.022Z'}, {'type': 's', 'time': '2025-05-12T17:02:16.347Z'}, {'type': 's', 'time': '2025-05-12T17:02:20.479Z'}, {'type': 's', 'time': '2025-05-12T17:02:22.321Z'}, {'type': 'l', 'time': '2025-05-12T17:02:28.121Z'}, {'type': 's', 'time': '2025-05-12T17:02:42.388Z'}]",9,8,17,1
14,14,2,B. pascuorum,1747069398462,2025-05-12T17:03:18.462Z,1747069518462,2025-05-12T17:05:18.462Z,"[{'type': 's', 'time': '2025-05-12T17:03:23.894Z'}, {'type': 's', 'time': '2025-05-12T17:03:26.960Z'}, {'type': 's', 'time': '2025-05-12T17:03:39.976Z'}, {'type': 's', 'time': '2025-05-12T17:03:45.201Z'}, {'type': 'l', 'time': '2025-05-12T17:03:50.502Z'}, {'type': 's', 'time': '2025-05-12T17:03:52.409Z'}, {'type': 's', 'time': '2025-05-12T17:03:54.074Z'}, {'type': 's', 'time': '2025-05-12T17:03:57.632Z'}, {'type': 's', 'time': '2025-05-12T17:04:01.031Z'}, {'type': 's', 'time': '2025-05-12T17:04:07.026Z'}, {'type': 's', 'time': '2025-05-12T17:04:11.734Z'}, {'type': 'l', 'time': '2025-05-12T17:04:16.525Z'}, {'type': 'l', 'time': '2025-05-12T17:04:33.483Z'}, {'type': 's', 'time': '2025-05-12T17:04:36.466Z'}, {'type': 's', 'time': '2025-05-12T17:04:38.243Z'}, {'type': 's', 'time': '2025-05-12T17:04:44.274Z'}, {'type': 'l', 'time': '2025-05-12T17:04:50.514Z'}, {'type': 's', 'time': '2025-05-12T17:04:57.012Z'}, {'type': 's', 'time': '2025-05-12T17:05:07.096Z'}, {'type': 's', 'time': '2025-05-12T17:05:12.422Z'}, {'type': 's', 'time': '2025-05-12T17:05:15.374Z'}, {'type': 'l', 'time': '2025-05-12T17:05:18.032Z'}]",17,5,22,12
15,15,2,B. pascuorum,1747069765872,2025-05-12T17:09:25.872Z,1747069885872,2025-05-12T17:11:25.872Z,"[{'type': 's', 'time': '2025-05-12T17:09:28.926Z'}, {'type': 's', 'time': '2025-05-12T17:09:37.004Z'}, {'type': 's', 'time': '2025-05-12T17:09:46.951Z'}, {'type': 's', 'time': '2025-05-12T17:09:56.954Z'}, {'type': 's', 'time': '2025-05-12T17:10:01.496Z'}, {'type': 's', 'time': '2025-05-12T17:10:14.112Z'}, {'type': 'l', 'time': '2025-05-12T17:10:19.467Z'}, {'type': 'l', 'time': '2025-05-12T17:10:25.511Z'}, {'type': 's', 'time': '2025-05-12T17:10:28.270Z'}, {'type': 's', 'time': '2025-05-12T17:10:31.877Z'}, {'type': 'l', 'time': '2025-05-12T17:10:35.810Z'}, {'type': 'l', 'time': '2025-05-12T17:10:38.965Z'}, {'type': 's', 'time': '2025-05-12T17:10:43.368Z'}, {'type': 'l', 'time': '2025-05-12T17:10:47.018Z'}, {'type': 's', 'time': '2025-05-12T17:10:52.385Z'}, {'type': 's', 'time': '2025-05-12T17:10:55.402Z'}, {'type': 'l', 'time': '2025-05-12T17:11:00.356Z'}, {'type': 'l', 'time': '2025-05-12T17:11:03.785Z'}, {'type': 'l', 'time': '2025-05-12T17:11:07.302Z'}, {'type': 's', 'time': '2025-05-12T17:11:09.118Z'}, {'type': 's', 'time': '2025-05-12T17:11:11.868Z'}, {'type': 'l', 'time': '2025-05-12T17:11:14.862Z'}, {'type': 's', 'time': '2025-05-12T17:11:20.691Z'}]",14,9,23,5
16,16,2,B. pratorum,1747070178439,2025-05-12T17:16:18.439Z,1747070298439,2025-05-12T17:18:18.439Z,"[{'type': 's', 'time': '2025-05-12T17:16:20.839Z'}, {'type': 's', 'time': '2025-05-12T17:16:26.714Z'}, {'type': 'l', 'time': '2025-05-12T17:16:28.732Z'}, {'type': 's', 'time': '2025-05-12T17:16:30.240Z'}, {'type': 's', 'time': '2025-05-12T17:16:34.017Z'}, {'type': 's', 'time': '2025-05-12T17:16:42.498Z'}, {'type': 's', 'time': '2025-05-12T17:17:16.495Z'}, {'type': 's', 'time': '2025-05-12T17:17:24.002Z'}, {'type': 's', 'time': '2025-05-12T17:17:31.605Z'}, {'type': 's', 'time': '2025-05-12T17:17:43.634Z'}, {'type': 'l', 'time': '2025-05-12T17:17:47.835Z'}, {'type': 's', 'time': '2025-05-12T17:18:00.046Z'}, {'type': 's', 'time': '2025-05-12T17:18:09.121Z'}, {'type': 's', 'time': '2025-05-12T17:18:16.671Z'}]",12,2,14,10
